ON Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Dispersed/Arrival Date
ON.257,55.0,18.0,0.0,0.0,0.0,0.0,278556.0,0.0,1944-10-02,1944-10-18
ON.258,74.0,17.0,0.0,0.0,0.0,0.0,386682.0,0.0,1944-10-06,1944-10-24
ON.259,53.0,15.0,0.0,0.0,0.0,0.0,280533.0,0.0,1944-10-12,1944-10-29
ON.260,48.0,14.0,0.0,0.0,0.0,0.0,240449.0,0.0,1944-10-15,1944-10-30
ON.261,50.0,13.0,0.0,0.0,0.0,0.0,262980.0,0.0,1944-10-20,1944-11-05
ON.262,64.0,17.0,0.0,0.0,0.0,0.0,341740.0,0.0,1944-10-24,1944-11-10
ON.263,84.0,16.0,0.0,0.0,0.0,0.0,476863.0,0.0,1944-10-29,1944-11-15
ON.264,86.0,18.0,1.0,0.0,0.0,0.0,516136.0,0.0,1944-11-03,1944-11-21
ON.265,68.0,15.0,0.0,0.0,0.0,0.0,382941.0,0.0,1944-11-08,1944-11-23
ON.266,68.0,15.0,0.0,0.0,0.0,0.0,392737.0,0.0,1944-11-12,1944-12-03
ON.267,61.0,18.0,0.0,0.0,0.0,0.0,322213.0,0.0,1944-11-18,1944-12-05
ON.268,74.0,16.0,0.0,0.0,0.0,0.0,437552.0,0.0,1944-11-23,1944-12-10
ON.269,74.0,17.0,0.0,0.0,0.0,0.0,412241.0,0.0,1944-11-29,1944-12-15
ON.270,72.0,20.0,0.0,0.0,0.0,0.0,398014.0,0.0,1944-12-03,1944-12-22
ON.271,91.0,22.0,0.0,0.0,0.0,0.0,480786.0,0.0,1944-12-08,1944-12-28
ON.272,59.0,16.0,0.0,0.0,0.0,0.0,335098.0,0.0,1944-12-14,1945-01-01
ON.273,82.0,18.0,0.0,0.0,0.0,0.0,445698.0,0.0,1944-12-18,1945-01-04
ON.274,98.0,17.0,0.0,0.0,0.0,0.0,575714.0,0.0,1944-12-23,1945-01-08
ON.275,55.0,17.0,1.0,0.0,0.0,0.0,292841.0,0.0,1944-12-28,1945-01-13
ON.276,87.0,20.0,0.0,0.0,0.0,0.0,494086.0,0.0,1945-01-02,1945-01-18
ON.277,74.0,20.0,0.0,1.0,0.0,0.0,391731.0,7198.0,1945-01-07,1945-01-23
ON.278,67.0,21.0,0.0,0.0,0.0,0.0,331289.0,0.0,1945-01-12,1945-01-31
ON.279,70.0,21.0,1.0,0.0,0.0,0.0,358503.0,0.0,1945-01-17,1945-02-05
ON.280,67.0,18.0,0.0,0.0,0.0,0.0,339546.0,0.0,1945-01-22,1945-02-09
ON.281,61.0,20.0,0.0,0.0,0.0,0.0,302017.0,0.0,1945-01-26,1945-02-12
ON.282,71.0,17.0,0.0,0.0,0.0,0.0,418668.0,0.0,1945-02-01,1945-02-19
ON.283,79.0,22.0,0.0,0.0,0.0,0.0,402539.0,0.0,1945-02-05,1945-02-27
ON.284,87.0,21.0,0.0,0.0,0.0,0.0,477668.0,0.0,1945-02-10,1945-03-01
ON.285,101.0,27.0,1.0,0.0,0.0,0.0,531067.0,0.0,1945-02-16,1945-03-05
ON.286,88.0,35.0,3.0,0.0,0.0,0.0,391262.0,0.0,1945-02-21,1945-03-09
ON.287,112.0,17.0,0.0,0.0,0.0,0.0,685362.0,0.0,1945-02-25,1945-03-14
ON.288,127.0,20.0,0.0,0.0,0.0,0.0,768333.0,0.0,1945-03-02,1945-03-19
ON.289,102.0,25.0,0.0,0.0,0.0,0.0,581614.0,0.0,1945-03-07,1945-03-25
ON.290,86.0,16.0,0.0,0.0,0.0,0.0,523764.0,0.0,1945-03-11,1945-03-29
ON.291,87.0,19.0,0.0,0.0,0.0,0.0,495204.0,0.0,1945-03-17,1945-04-06
ON.292,85.0,17.0,0.0,0.0,0.0,0.0,513645.0,0.0,1945-03-22,1945-04-08
ON.293,101.0,19.0,0.0,0.0,0.0,0.0,607590.0,0.0,1945-03-27,1945-04-15
ON.294,106.0,21.0,5.0,0.0,0.0,0.0,628706.0,0.0,1945-04-01,1945-04-20
ON.295,112.0,19.0,0.0,0.0,0.0,0.0,678349.0,0.0,1945-04-07,1945-04-26
ON.296,93.0,24.0,0.0,0.0,0.0,0.0,519304.0,0.0,1945-04-12,1945-04-30
ON.297,106.0,25.0,0.0,0.0,0.0,0.0,579263.0,0.0,1945-04-17,1945-05-02
ON.298,88.0,21.0,0.0,0.0,0.0,0.0,503863.0,0.0,1945-04-21,1945-05-07
ON.299,92.0,22.0,0.0,0.0,0.0,0.0,524456.0,0.0,1945-04-26,1945-05-13
ON.300,88.0,18.0,0.0,0.0,0.0,0.0,501066.0,0.0,1945-05-02,1945-05-18
ON.301,75.0,16.0,0.0,0.0,0.0,0.0,446662.0,0.0,1945-05-06,1945-05-22
ON.302,95.0,21.0,0.0,0.0,0.0,0.0,532589.0,0.0,1945-05-12,1945-05-27
ON.303,95.0,14.0,0.0,0.0,0.0,0.0,572765.0,0.0,1945-05-17,1945-06-02
ON.304,85.0,15.0,0.0,0.0,0.0,0.0,511572.0,0.0,1945-05-21,1945-06-05
ON.305,92.0,16.0,0.0,0.0,0.0,0.0,578428.0,0.0,1945-05-26,1945-06-10
,,,,,,,,,,
