ON Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Dispersed/Arrival Date
ON.60,66.0,15.0,0.0,4.0,1.0,0.0,232049.0,18696.0,1942-01-26,1942-02-15
ON.61,32.0,11.0,0.0,0.0,0.0,0.0,141593.0,0.0,1942-01-27,1942-02-10
ON.62,58.0,13.0,1.0,2.0,0.0,0.0,221335.0,10563.0,1942-02-01,1942-02-15
ON.63,45.0,11.0,0.0,2.0,1.0,0.0,222792.0,7871.0,1942-02-02,1942-02-13
ON.64,48.0,8.0,0.0,0.0,0.0,0.0,189974.0,0.0,1942-02-07,1942-02-24
ON.65,59.0,10.0,0.0,0.0,0.0,0.0,343774.0,0.0,1942-02-08,1942-02-19
ON.66,32.0,11.0,1.0,2.0,0.0,1.0,83793.0,11895.0,1942-02-13,1942-02-26
ON.67,50.0,11.0,2.0,8.0,0.0,2.0,263118.0,54750.0,1942-02-14,1942-03-01
ON.68,39.0,12.0,2.0,2.0,0.0,2.0,116628.0,9984.0,1942-02-19,1942-03-09
ON.69,42.0,10.0,0.0,0.0,0.0,0.0,175625.0,0.0,1942-02-20,1942-03-06
ON.70,48.0,10.0,1.0,1.0,0.0,1.0,179894.0,3089.0,1942-02-25,1942-03-15
ON.71,51.0,9.0,0.0,0.0,0.0,0.0,321144.0,0.0,1942-02-26,1942-03-08
ON.72,32.0,8.0,0.0,0.0,0.0,0.0,118151.0,0.0,1942-03-03,1942-03-19
ON.73,46.0,11.0,0.0,0.0,0.0,0.0,208686.0,0.0,1942-03-05,1942-03-16
ON.74,57.0,10.0,0.0,0.0,0.0,0.0,243457.0,0.0,1942-03-09,1942-03-25
ON.75,19.0,6.0,0.0,0.0,0.0,0.0,102256.0,0.0,1942-03-10,1942-03-19
ON.76,44.0,14.0,0.0,0.0,0.0,0.0,151004.0,0.0,1942-03-15,1942-03-31
ON.77,43.0,12.0,0.0,0.0,0.0,0.0,204426.0,0.0,1942-03-17,1942-03-28
ON.78,47.0,10.0,0.0,0.0,0.0,0.0,156242.0,0.0,1942-03-21,1942-04-09
ON.79,50.0,11.0,0.0,0.0,0.0,0.0,235270.0,0.0,1942-03-23,1942-04-07
ON.80,37.0,10.0,1.0,1.0,0.0,1.0,130067.0,5249.0,1942-03-27,1942-04-15
ON.81,21.0,8.0,0.0,0.0,0.0,0.0,110578.0,0.0,1942-03-29,1942-04-09
ON.82,51.0,11.0,0.0,0.0,0.0,0.0,173637.0,0.0,1942-04-02,1942-04-18
ON.83,47.0,9.0,0.0,0.0,0.0,0.0,240398.0,0.0,1942-04-04,1942-04-17
ON.84,33.0,9.0,0.0,0.0,0.0,0.0,109024.0,0.0,1942-04-08,1942-04-25
ON.85,32.0,12.0,0.0,0.0,0.0,0.0,104824.0,0.0,1942-04-10,1942-04-23
ON.86,64.0,16.0,0.0,0.0,0.0,0.0,204845.0,0.0,1942-04-14,1942-04-29
ON.87,32.0,7.0,0.0,0.0,0.0,0.0,187384.0,0.0,1942-04-16,1942-04-26
ON.88,55.0,10.0,0.0,0.0,0.0,0.0,155638.0,0.0,1942-04-21,1942-05-08
ON.89,70.0,16.0,1.0,1.0,0.0,1.0,322741.0,6994.0,1942-04-23,1942-05-05
ON.90,64.0,13.0,0.0,0.0,0.0,0.0,180042.0,0.0,1942-04-28,1942-05-15
ON.91,50.0,13.0,0.0,0.0,0.0,0.0,232237.0,0.0,1942-05-01,1942-05-15
ON.92,63.0,17.0,0.0,7.0,0.0,0.0,218314.0,36284.0,1942-05-06,1942-05-21
ON.93,31.0,5.0,0.0,2.0,0.0,0.0,190154.0,16247.0,1942-05-08,1942-05-17
ON.94,59.0,13.0,0.0,0.0,0.0,0.0,197847.0,0.0,1942-05-12,1942-05-25
ON.95,47.0,9.0,1.0,0.0,0.0,0.0,228290.0,0.0,1942-05-15,1942-05-29
ON.96,52.0,10.0,0.0,0.0,0.0,0.0,161225.0,0.0,1942-05-19,1942-06-07
ON.97,46.0,13.0,0.0,0.0,0.0,0.0,225204.0,0.0,1942-05-22,1942-06-05
ON.98,53.0,13.0,0.0,0.0,0.0,0.0,157314.0,0.0,1942-05-26,1942-06-12
ON.99,39.0,11.0,0.0,0.0,0.0,0.0,180310.0,0.0,1942-05-29,1942-06-12
ON.100,58.0,12.0,1.0,5.0,1.0,1.0,192986.0,20478.0,1942-06-02,1942-06-19
ON.101,31.0,11.0,0.0,0.0,0.0,0.0,132145.0,0.0,1942-06-05,1942-06-18
ON.102,82.0,17.0,0.0,1.0,0.0,0.0,288487.0,5627.0,1942-06-09,1942-06-25
ON.103,64.0,12.0,0.0,0.0,0.0,0.0,317061.0,0.0,1942-06-12,1942-06-26
ON.104,51.0,11.0,0.0,0.0,0.0,0.0,155744.0,0.0,1942-06-16,1942-07-02
ON.105,49.0,11.0,0.0,0.0,0.0,0.0,262721.0,0.0,1942-06-19,1942-06-30
ON.106,47.0,12.0,0.0,0.0,0.0,0.0,136883.0,0.0,1942-06-23,1942-07-08
ON.107,42.0,11.0,0.0,0.0,0.0,0.0,200176.0,0.0,1942-06-26,1942-07-09
ON.108,49.0,9.0,0.0,0.0,0.0,0.0,137919.0,0.0,1942-06-30,1942-07-18
ON.109,38.0,10.0,0.0,0.0,0.0,0.0,187903.0,0.0,1942-07-03,1942-07-18
ON.110,58.0,12.0,0.0,0.0,0.0,0.0,202302.0,0.0,1942-07-06,1942-07-26
ON.111,59.0,9.0,0.0,0.0,0.0,0.0,316992.0,0.0,1942-07-10,1942-07-24
ON.112,59.0,15.0,0.0,0.0,0.0,0.0,164737.0,0.0,1942-07-13,1942-07-30
ON.113,48.0,11.0,0.0,3.0,0.0,0.0,256086.0,18812.0,1942-07-17,1942-07-31
ON.114,42.0,10.0,0.0,0.0,0.0,0.0,137525.0,0.0,1942-07-19,1942-08-04
ON.115,55.0,13.0,3.0,3.0,0.0,1.0,271550.0,21456.0,1942-07-24,1942-08-08
ON.116,61.0,15.0,0.0,0.0,0.0,0.0,186199.0,0.0,1942-07-25,1942-08-12
ON.117,57.0,14.0,0.0,0.0,0.0,0.0,275910.0,0.0,1942-07-31,1942-08-15
ON.118,46.0,11.0,0.0,0.0,0.0,0.0,156433.0,0.0,1942-08-01,1942-08-20
ON.119,52.0,18.0,0.0,0.0,0.0,0.0,219689.0,0.0,1942-08-05,1942-08-20
ON.120,53.0,14.0,0.0,0.0,0.0,0.0,151966.0,0.0,1942-08-08,1942-08-27
ON.121,53.0,19.0,0.0,0.0,0.0,0.0,216632.0,0.0,1942-08-12,1942-08-27
ON.122,54.0,14.0,0.0,4.0,0.0,0.0,156222.0,17235.0,1942-08-15,1942-09-03
ON.123,51.0,12.0,0.0,0.0,0.0,0.0,233646.0,0.0,1942-08-21,1942-09-03
ON.124,50.0,16.0,0.0,0.0,0.0,0.0,144394.0,0.0,1942-08-22,1942-09-06
ON.125,45.0,16.0,0.0,0.0,0.0,0.0,202081.0,0.0,1942-08-28,1942-09-12
ON.126,43.0,17.0,1.0,0.0,0.0,0.0,119480.0,0.0,1942-08-29,1942-09-18
ON.127,51.0,15.0,0.0,8.0,1.0,0.0,242110.0,41619.0,1942-09-04,1942-09-20
ON.128,46.0,13.0,2.0,0.0,0.0,0.0,116260.0,0.0,1942-09-05,1942-09-24
ON.129,49.0,15.0,0.0,0.0,0.0,0.0,224933.0,0.0,1942-09-11,1942-09-25
ON.130,49.0,15.0,0.0,0.0,0.0,0.0,153324.0,0.0,1942-09-12,1942-09-30
ON.131,78.0,17.0,1.0,1.0,0.0,1.0,398296.0,7176.0,1942-09-18,1942-10-04
ON.132,72.0,23.0,0.0,0.0,0.0,0.0,195721.0,0.0,1942-09-19,1942-10-08
ON.133,61.0,16.0,0.0,0.0,0.0,0.0,324888.0,0.0,1942-09-25,1942-10-11
ON.134,68.0,14.0,0.0,0.0,0.0,0.0,257527.0,0.0,1942-09-26,1942-10-17
ON.135,59.0,14.0,0.0,0.0,0.0,0.0,301517.0,0.0,1942-10-02,1942-10-21
ON.136,71.0,18.0,4.0,4.0,0.0,4.0,233397.0,18526.0,1942-10-03,1942-10-26
ON.137,61.0,16.0,1.0,2.0,0.0,1.0,308042.0,10491.0,1942-10-09,1942-10-29
ON.138,76.0,15.0,0.0,1.0,0.0,0.0,346968.0,6400.0,1942-10-11,1942-11-03
ON.139,62.0,18.0,0.0,3.0,0.0,0.0,307079.0,25471.0,1942-10-16,1942-11-01
ON.140,72.0,24.0,0.0,0.0,0.0,0.0,258440.0,0.0,1942-10-17,1942-11-07
ON.141,83.0,15.0,0.0,2.0,0.0,0.0,429422.0,9171.0,1942-10-24,1942-11-10
ON.142,86.0,17.0,2.0,2.0,0.0,2.0,331514.0,8504.0,1942-10-30,1942-11-21
ON.143,46.0,19.0,0.0,0.0,0.0,0.0,168003.0,0.0,1942-11-01,1942-11-16
ON.144,65.0,20.0,0.0,6.0,1.0,0.0,188399.0,26321.0,1942-11-07,1942-11-27
ON.145,54.0,16.0,0.0,3.0,0.0,0.0,248047.0,17822.0,1942-11-09,1942-11-25
ON.146,63.0,17.0,1.0,1.0,0.0,1.0,227484.0,6089.0,1942-11-15,1942-12-08
ON.147,47.0,17.0,0.0,0.0,0.0,0.0,209722.0,0.0,1942-11-17,1942-12-04
ON.148,50.0,17.0,0.0,0.0,0.0,0.0,144971.0,0.0,1942-11-23,1942-12-13
ON.149,65.0,16.0,1.0,4.0,0.0,0.0,345136.0,37671.0,1942-11-26,1942-12-12
ON.150,54.0,13.0,0.0,0.0,0.0,0.0,189591.0,0.0,1942-12-01,1942-12-25
ON.151,56.0,16.0,0.0,0.0,0.0,0.0,288338.0,0.0,1942-12-03,1942-12-23
ON.152,54.0,19.0,2.0,2.0,0.0,2.0,170769.0,7540.0,1942-12-09,1942-12-31
ON.153,57.0,12.0,1.0,4.0,1.0,1.0,287915.0,19551.0,1942-12-11,1942-12-31
ON.154,67.0,17.0,0.0,14.0,1.0,0.0,256739.0,69378.0,1942-12-18,1943-01-12
ON.155,47.0,16.0,1.0,0.0,0.0,0.0,197418.0,0.0,1942-12-19,1943-01-06
ON.156,52.0,17.0,5.0,1.0,0.0,1.0,145388.0,3987.0,1942-12-24,1943-01-17
ON.157,55.0,14.0,0.0,0.0,0.0,0.0,296299.0,0.0,1942-12-27,1943-01-15
ON.158,64.0,17.0,6.0,0.0,0.0,0.0,257455.0,0.0,1943-01-02,1943-01-23
ON.159,48.0,19.0,0.0,0.0,0.0,0.0,214318.0,0.0,1943-01-04,1943-01-20
ON.160,73.0,21.0,0.0,0.0,0.0,0.0,259837.0,0.0,1943-01-11,1943-02-04
ON.161,58.0,15.0,1.0,0.0,0.0,0.0,312967.0,0.0,1943-01-12,1943-01-31
ON.162,79.0,18.0,0.0,0.0,0.0,0.0,430048.0,0.0,1943-01-23,1943-02-11
ON.163,70.0,18.0,0.0,0.0,0.0,0.0,233160.0,0.0,1943-01-24,1943-02-16
ON.164,56.0,14.0,0.0,0.0,0.0,0.0,255585.0,0.0,1943-02-01,1943-02-19
ON.165,55.0,16.0,5.0,2.0,0.0,2.0,203515.0,9415.0,1943-02-02,1943-03-01
ON.166,76.0,21.0,3.0,14.0,1.0,0.0,361079.0,87901.0,1943-02-11,1943-03-03
ON.167,56.0,21.0,0.0,2.0,0.0,0.0,193939.0,13466.0,1943-02-14,1943-03-08
ON.168,74.0,14.0,1.0,2.0,0.0,0.0,401340.0,13713.0,1943-02-21,1943-03-12
ON.169,63.0,20.0,4.0,1.0,0.0,1.0,225088.0,3355.0,1943-02-22,1943-03-21
ON.170,67.0,18.0,0.0,0.0,0.0,0.0,356397.0,0.0,1943-03-03,1943-03-20
ON.171,59.0,16.0,0.0,0.0,0.0,0.0,210000.0,0.0,1943-03-04,1943-03-23
ON.172,34.0,19.0,0.0,0.0,0.0,0.0,128037.0,0.0,1943-03-09,1943-03-27
ON.173,50.0,13.0,1.0,0.0,0.0,0.0,278334.0,0.0,1943-03-13,1943-03-29
ON.174,57.0,17.0,0.0,0.0,0.0,0.0,299458.0,0.0,1943-03-20,1943-04-08
ON.175,60.0,20.0,8.0,1.0,0.0,0.0,259112.0,2806.0,1943-03-24,1943-04-16
ON.176,68.0,21.0,1.0,2.0,1.0,0.0,312502.0,3104.0,1943-03-31,1943-04-20
ON.177,43.0,16.0,1.0,0.0,0.0,0.0,177506.0,0.0,1943-04-06,1943-04-23
ON.178,78.0,19.0,2.0,1.0,0.0,0.0,370535.0,3025.0,1943-04-12,1943-05-02
ON.179,74.0,20.0,0.0,0.0,0.0,0.0,381058.0,0.0,1943-04-18,1943-05-06
ON.180,78.0,14.0,3.0,0.0,0.0,0.0,469695.0,0.0,1943-04-24,1943-05-14
ON.181,63.0,15.0,0.0,0.0,0.0,0.0,340442.0,0.0,1943-04-30,1943-05-18
ON.182,74.0,21.0,0.0,0.0,0.0,0.0,384742.0,0.0,1943-05-06,1943-05-22
ON.183,49.0,17.0,0.0,0.0,0.0,0.0,230194.0,0.0,1943-05-10,1943-05-25
ON.184,59.0,23.0,0.0,0.0,0.0,0.0,258536.0,0.0,1943-05-15,1943-05-31
ON.186,68.0,29.0,0.0,0.0,0.0,0.0,315046.0,0.0,1943-05-24,1943-06-07
ON.187,102.0,25.0,1.0,0.0,0.0,0.0,538939.0,0.0,1943-06-01,1943-06-15
ON.188,78.0,21.0,0.0,0.0,0.0,0.0,408101.0,0.0,1943-06-10,1943-06-26
ON.189,77.0,24.0,0.0,0.0,0.0,0.0,384223.0,0.0,1943-06-16,1943-07-01
ON.190,108.0,23.0,2.0,0.0,0.0,0.0,612762.0,0.0,1943-06-24,1943-07-09
ON.191,83.0,24.0,0.0,0.0,0.0,0.0,401461.0,0.0,1943-07-01,1943-07-15
ON.192,109.0,23.0,0.0,0.0,0.0,0.0,589059.0,0.0,1943-07-09,1943-07-22
ON.193,120.0,25.0,0.0,0.0,0.0,0.0,674750.0,0.0,1943-07-16,1943-07-31
ON.194,103.0,22.0,0.0,0.0,0.0,0.0,553629.0,0.0,1943-07-24,1943-08-07
ON.195,70.0,20.0,0.0,0.0,0.0,0.0,372003.0,0.0,1943-07-31,1943-08-13
ON.196,97.0,23.0,0.0,0.0,0.0,0.0,541885.0,0.0,1943-08-08,1943-08-21
ON.197,69.0,16.0,0.0,0.0,0.0,0.0,381746.0,0.0,1943-08-14,1943-08-28
ON.198,74.0,20.0,0.0,0.0,0.0,0.0,420217.0,0.0,1943-08-21,1943-09-04
ON.199,78.0,16.0,2.0,0.0,0.0,0.0,451673.0,0.0,1943-08-26,1943-09-09
ON.200,78.0,18.0,0.0,0.0,0.0,0.0,439069.0,0.0,1943-09-02,1943-09-18
ON.201,88.0,18.0,1.0,0.0,0.0,0.0,501062.0,0.0,1943-09-09,1943-09-24
ON.202,70.0,29.0,0.0,10.0,4.0,0.0,281952.0,41277.0,1943-09-15,1943-10-01
ON.203,89.0,27.0,0.0,0.0,0.0,0.0,470217.0,0.0,1943-09-22,1943-10-10
ON.204,85.0,21.0,0.0,0.0,0.0,0.0,452852.0,0.0,1943-09-28,1943-10-15
