HX Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrive_Date
HX.85,35,4,0,0,0,0,169612,0,1940-11-01,1940-11-09
HX.85/1,29,0,0,0,0,0,162101,0,1940-11-11,1940-11-25
HX.86,52,11,0,0,0,0,256411,0,1940-11-10,1940-11-26
HX.87,44,11,0,0,0,0,187158,0,1940-11-14,1940-11-29
HX.88,63,10,1,1,0,1,312953,8240,1940-11-14,1940-11-30
HX.89,41,12,1,0,0,0,152196,0,1940-11-17,1940-12-01
HX.90,49,9,2,10,0,2,239146,57556,1940-11-21,1940-12-05
HX.91,42,9,1,0,0,0,198181,0,1940-11-25,1940-12-11
HX.92,32,8,1,4,0,1,122992,26111,1940-11-29,1940-12-12
HX.93,44,13,0,0,0,0,178972,0,1940-12-03,1940-12-18
HX.94,30,11,0,0,0,0,107632,0,1940-12-06,1940-12-22
HX.95,30,7,0,0,0,0,143983,0,1940-12-10,1940-12-27
HX.96,39,6,0,0,0,0,177931,0,1940-12-14,1940-12-30
HX.97,32,8,1,1,0,1,135471,3759,1940-12-18,1941-01-03
HX.98,30,3,0,0,0,0,177464,0,1940-12-22,1940-12-29
HX.98/1,24,1,0,0,0,0,164070,0,1941-01-02,1941-01-17
HX.99,32,10,0,0,0,0,120840,0,1940-12-26,1941-01-11
HX.100,48,9,0,0,0,0,221518,0,1941-01-01,1941-01-18
HX.101,36,10,1,0,0,0,142266,0,1941-01-06,1941-01-22
HX.102,48,7,1,0,0,0,228850,0,1941-01-11,1941-01-29
HX.103,21,9,2,0,0,0,77769,0,1941-01-15,1941-02-01
HX.104,30,8,5,0,0,0,117325,0,1941-01-21,1941-02-08
HX.105,47,9,0,0,0,0,206832,0,1941-01-25,1941-02-09
HX.106,52,11,12,2,0,2,279496,18544,1941-01-30,1941-02-18
HX.107,37,9,5,4,0,4,186643,28771,1941-02-03,1941-02-28
HX.108,59,10,0,0,0,0,309274,0,1941-02-09,1941-02-27
HX.109,48,10,4,3,0,1,218309,22907,1941-02-13,1941-03-04
HX.110,52,6,0,0,0,0,276168,0,1941-02-19,1941-03-11
HX.111,33,8,0,0,0,0,142226,0,1941-02-23,1941-03-12
HX.112,54,12,8,5,0,0,260899,37226,1941-03-01,1941-03-20
HX.113,41,13,0,0,0,0,148789,0,1941-03-05,1941-03-21
HX.114,57,15,6,0,0,0,269231,0,1941-03-11,1941-03-30
HX.115,46,13,0,3,0,0,202522,12945,1941-03-17,1941-04-03
HX.116,42,14,1,0,0,0,196337,0,1941-03-21,1941-04-09
HX.117,57,14,2,1,1,0,277264,16644,1941-03-27,1941-04-15
HX.118,44,11,2,0,0,0,210801,0,1941-03-31,1941-04-18
HX.119A,53,19,0,0,0,0,219895,0,1941-04-06,1941-04-22
HX.119B,23,3,0,0,0,0,122607,0,1941-04-06,1941-04-22
HX.120,51,10,0,0,0,0,299190,0,1941-04-10,1941-04-29
HX.121,71,22,0,4,0,0,328335,35495,1941-04-16,1941-05-03
HX.122,50,22,0,0,0,0,190247,0,1941-04-20,1941-05-08
HX.123,61,19,0,0,0,0,255776,0,1941-04-25,1941-05-13
HX.124,76,39,0,0,0,0,220203,0,1941-04-30,1941-05-20
HX.125A,78,38,0,0,0,0,266679,0,1941-05-06,1941-05-22
HX.125B,29,0,0,0,0,0,182206,0,1941-05-06,1941-05-22
HX.126,55,22,4,8,0,0,193170,47049,1941-05-10,1941-05-28
HX.127,77,18,0,1,0,0,372228,2477,1941-05-16,1941-06-02
HX.128,66,23,4,1,0,1,276778,7290,1941-05-20,1941-06-06
HX.129,85,24,0,0,0,0,378236,0,1941-05-27,1941-06-12
HX.130,75,24,4,0,0,0,321262,0,1941-06-01,1941-06-20
HX.131,62,18,0,0,0,0,293373,0,1941-06-06,1941-06-23
HX.132,55,21,0,0,0,0,203105,0,1941-06-10,1941-06-28
HX.133,84,25,2,6,0,1,351031,38269,1941-06-16,1941-07-03
HX.134,79,23,0,0,0,0,369177,0,1941-06-20,1941-07-09
HX.135,76,19,0,0,0,0,313246,0,1941-06-26,1941-07-12
HX.136,69,25,0,0,0,0,292360,0,1941-06-30,1941-07-18
HX.137,79,20,0,0,0,0,360132,0,1941-07-06,1941-07-22
HX.138,77,22,2,0,0,0,347175,0,1941-07-11,1941-07-27
HX.139,75,15,0,0,0,0,383681,0,1941-07-16,1941-07-31
HX.140,110,28,0,0,0,0,517094,0,1941-07-22,1941-08-06
HX.141,78,16,1,0,0,0,405150,0,1941-07-27,1941-08-11
HX.142,103,31,1,0,0,0,451542,0,1941-08-01,1941-08-18
HX.143,93,20,1,0,0,0,463957,0,1941-08-05,1941-08-20
HX.144,91,28,1,0,0,0,457173,0,1941-08-10,1941-08-30
HX.145,107,23,0,0,0,0,543519,0,1941-08-16,1941-08-31
HX.146,88,24,0,0,0,0,400117,0,1941-08-21,1941-09-06
HX.147,82,15,0,0,0,0,485341,0,1941-08-29,1941-09-12
HX.148,65,17,4,0,0,0,342763,0,1941-09-04,1941-09-17
HX.149,80,20,0,0,0,0,434822,0,1941-09-10,1941-09-25
HX.150,64,16,0,0,0,0,314869,0,1941-09-16,1941-09-30
HX.151,62,14,0,0,0,0,298455,0,1941-09-22,1941-10-07
HX.152,74,15,0,0,0,0,431069,0,1941-09-28,1941-10-14
HX.153,77,16,0,0,0,0,451457,0,1941-10-05,1941-10-19
HX.154,67,14,0,0,0,0,390894,0,1941-10-10,1941-10-23
HX.155,71,15,0,0,0,0,398515,0,1941-10-16,1941-10-31
HX.156,68,16,0,1,1,0,318924,1190,1941-10-22,1941-11-05
HX.157,61,17,0,0,0,0,304394,0,1941-10-28,1941-11-13
HX.158,63,21,0,0,0,0,310685,0,1941-11-03,1941-11-18
HX.159,51,17,0,0,0,0,225943,0,1941-11-08,1941-11-23
HX.160,80,17,1,0,0,0,433759,0,1941-11-15,1941-11-30
HX.161,66,19,0,0,0,0,308158,0,1941-11-21,1941-12-06
HX.162,50,13,2,0,0,0,240267,0,1941-11-27,1941-12-11
HX.163,59,14,0,0,0,0,304733,0,1941-12-03,1941-12-19
HX.164,58,14,0,0,0,0,325117,0,1941-12-08,1941-12-23
HX.165,64,15,1,0,0,0,320338,0,1941-12-15,1941-12-30
HX.166,50,15,2,1,0,1,244509,8237,1941-12-21,1942-01-05
HX.167,57,14,1,0,0,0,297478,0,1941-12-27,1942-01-11
HX.168,53,13,1,1,0,1,261911,5246,1942-01-02,1942-01-13
HX.169,58,16,13,0,0,0,331093,0,1942-01-08,1942-01-23
HX.170,50,19,0,0,0,0,200927,0,1942-01-13,1942-01-28
HX.171,59,15,1,0,0,0,293466,0,1942-01-20,1942-02-01
HX.172,75,18,0,0,0,0,430532,0,1942-01-26,1942-02-07
HX.173,50,16,2,0,0,0,236297,0,1942-02-01,1942-02-14
HX.174,47,14,1,1,0,1,211573,6914,1942-02-07,1942-02-21
HX.175,39,12,0,0,0,0,191800,0,1942-02-13,1942-02-25
HX.176,36,11,1,0,0,0,172228,0,1942-02-19,1942-03-06
HX.177,38,12,2,0,0,0,195827,0,1942-02-25,1942-03-09
HX.178,35,12,1,1,0,1,151580,5112,1942-03-03,1942-03-17
HX.179,37,13,1,0,0,0,156007,0,1942-03-09,1942-03-22
HX.180,45,10,2,0,0,0,227007,0,1942-03-15,1942-03-27
HX.181,41,11,3,1,0,0,190736,8620,1942-03-21,1942-04-02
HX.182,48,12,0,0,0,0,247414,0,1942-03-27,1942-04-09
HX.183,35,12,0,0,0,0,182368,0,1942-04-02,1942-04-15
HX.184,44,12,0,0,0,0,248180,0,1942-04-08,1942-04-20
HX.185,47,11,0,0,0,0,250845,0,1942-04-14,1942-04-27
HX.186,33,12,0,0,0,0,144339,0,1942-04-20,1942-05-02
HX.187,37,11,0,0,0,0,174203,0,1942-04-26,1942-05-08
HX.188,39,11,0,0,0,0,190422,0,1942-05-03,1942-05-15
HX.189,34,13,0,0,0,0,130773,0,1942-05-10,1942-05-20
HX.190,29,11,0,0,0,0,121128,0,1942-05-17,1942-05-28
HX.191,39,11,1,0,0,0,143466,0,1942-05-24,1942-06-06
HX.192,39,11,1,0,0,0,147709,0,1942-05-31,1942-06-11
HX.193,50,13,1,0,0,0,228225,0,1942-06-07,1942-06-19
HX.194,47,11,0,0,0,0,229805,0,1942-06-14,1942-06-26
HX.195,44,14,0,0,0,0,214028,0,1942-06-21,1942-07-02
HX.196,59,11,0,0,0,0,309972,0,1942-06-29,1942-07-10
HX.197,41,12,1,0,0,0,185211,0,1942-07-06,1942-07-17
HX.198,44,15,1,0,0,0,200134,0,1942-07-12,1942-07-23
HX.199,43,12,0,0,0,0,200814,0,1942-07-19,1942-07-30
HX.200,47,11,0,0,0,0,225636,0,1942-07-27,1942-08-07
HX.201,49,16,1,0,0,0,207402,0,1942-08-02,1942-08-14
HX.202,62,18,0,0,0,0,284494,0,1942-08-09,1942-08-21
HX.203,50,11,0,0,0,0,268780,0,1942-08-16,1942-08-28
HX.204,60,11,0,0,0,0,324143,0,1942-08-23,1942-09-04
HX.205,73,14,0,0,0,0,411634,0,1942-08-30,1942-09-11
HX.206,62,15,0,0,0,0,336960,0,1942-09-06,1942-09-18
HX.207,53,15,0,0,0,0,297753,0,1942-09-13,1942-09-25
HX.208,76,18,0,0,0,0,385086,0,1942-09-17,1942-10-02
HX.209,54,14,1,1,0,0,283281,11651,1942-09-24,1942-10-09
HX.210,58,16,0,0,0,0,288232,0,1942-10-01,1942-10-16
HX.211,54,14,0,0,0,0,269143,0,1942-10-08,1942-10-24
HX.212,73,19,2,6,0,2,364442,51997,1942-10-18,1942-11-02
HX.213,59,14,0,0,0,0,332140,0,1942-10-26,1942-11-10
HX.214,50,17,0,0,0,0,219022,0,1942-11-03,1942-11-18
HX.215,55,13,0,0,0,0,299224,0,1942-11-11,1942-11-25
HX.216,71,17,2,1,0,1,394564,7178,1942-11-19,1942-12-06
HX.217,57,18,1,3,0,1,292620,20229,1942-11-27,1942-12-14
HX.218,78,20,0,0,0,0,437840,0,1942-12-05,1942-12-21
HX.219,73,15,3,0,0,0,388688,0,1942-12-13,1942-12-29
HX.220,56,17,0,0,0,0,263101,0,1942-12-21,1943-01-09
HX.221,59,16,0,0,0,0,284345,0,1942-12-29,1943-01-14
HX.222,54,19,0,1,0,0,242284,14547,1943-01-06,1943-01-22
HX.223,77,20,0,2,0,0,437169,16480,1943-01-14,1943-02-02
HX.224,82,18,1,3,0,0,429790,24823,1943-01-22,1943-02-05
HX.225,57,17,0,0,0,0,302669,0,1943-01-30,1943-02-13
HX.226,67,18,0,0,0,0,358689,0,1943-02-08,1943-02-24
HX.227,89,18,2,2,0,2,542153,14352,1943-02-18,1943-03-06
HX.228,108,21,1,5,1,0,564786,25515,1943-02-28,1943-03-15
HX.229,57,17,0,13,0,0,281561,93502,1943-03-08,1943-03-23
HX.229A,62,16,0,0,0,0,335477,0,1943-03-09,1943-03-26
HX.230,67,21,1,1,0,1,332344,7176,1943-03-18,1943-04-02
HX.231,86,19,0,6,1,0,490311,41494,1943-03-25,1943-04-10
HX.232,68,17,1,4,0,1,350646,24221,1943-04-01,1943-04-16
HX.233,79,21,0,1,0,0,407134,7134,1943-04-06,1943-04-21
HX.234,67,21,1,2,0,1,344893,17394,1943-04-12,1943-04-29
HX.235,59,19,0,0,0,0,295384,0,1943-04-18,1943-05-05
HX.236,66,21,0,0,0,0,345666,0,1943-04-24,1943-05-09
HX.237,66,19,3,3,0,3,351060,21389,1943-05-01,1943-05-17
HX.238,64,20,0,0,0,0,326332,0,1943-05-07,1943-05-22
HX.239,65,24,0,0,0,0,326953,0,1943-05-13,1943-05-28
