iter	Logloss
0	0.68669327
1	0.6815187242
2	0.6753619138
3	0.6695389953
4	0.6637363628
5	0.6573534291
6	0.651789698
7	0.6455580891
8	0.6401077531
9	0.6346706886
10	0.6304002339
11	0.6260568751
12	0.6214274985
13	0.6165140499
14	0.6120269125
15	0.6076950051
16	0.6035023656
17	0.599090861
18	0.5949954229
19	0.5916220917
20	0.5870035782
21	0.5835758137
22	0.57964218
23	0.5758017004
24	0.5724207031
25	0.569356887
26	0.5654519524
27	0.5616029139
28	0.5577768994
29	0.5544279977
30	0.5507176437
31	0.5474976237
32	0.5443351553
33	0.5406861981
34	0.5379680361
35	0.5344288342
36	0.5312912053
37	0.5282569506
38	0.5259574567
39	0.5230783345
40	0.5208637373
41	0.5184941947
42	0.5159647724
43	0.5138737301
44	0.5109837301
45	0.5080987212
46	0.5055210444
47	0.5029688179
48	0.5010111728
49	0.4984473193
50	0.4959651419
51	0.4934320124
52	0.4915887151
53	0.490052008
54	0.4878880637
55	0.4857560258
56	0.4837410871
57	0.4818076931
58	0.4801118468
59	0.4786013728
60	0.4772064302
61	0.4753672019
62	0.4738766362
63	0.4724480659
64	0.4707564241
65	0.4688138286
66	0.4677149786
67	0.4655116253
68	0.4636824942
69	0.4624720763
70	0.4607006464
71	0.4595637164
72	0.4584708898
73	0.4572395107
74	0.4555859119
75	0.4542051073
76	0.4529728826
77	0.4515167344
78	0.4498668273
79	0.4484498911
80	0.4474382635
81	0.4462822471
82	0.4449337648
83	0.44365942
84	0.442447091
85	0.4413954452
86	0.4405696599
87	0.439376618
88	0.4381330922
89	0.4369959472
90	0.4356895077
91	0.4349117889
92	0.4337540118
93	0.4331018709
94	0.4321574658
95	0.4309435156
96	0.4296254115
97	0.4284922425
98	0.4274840924
99	0.4266067586
100	0.4258966973
101	0.425139762
102	0.4245119388
103	0.4233782547
104	0.4221486517
105	0.4213315568
106	0.4202450646
107	0.4190938411
108	0.4186431914
109	0.4180499985
110	0.4172006265
111	0.4163793366
112	0.4156039799
113	0.4146333334
114	0.4138422953
115	0.4130613392
116	0.4123202796
117	0.4117134886
118	0.4112286574
119	0.4103459518
120	0.4097500455
121	0.4089071085
122	0.4083773612
123	0.4076583911
124	0.4071390282
125	0.4066037191
126	0.4059576075
127	0.4052250318
128	0.40461717
129	0.4040516259
130	0.4030648186
131	0.4023109397
132	0.4014195922
133	0.4009247311
134	0.4005128054
135	0.3996139897
136	0.3990830377
137	0.3986402613
138	0.3980097614
139	0.3974654412
140	0.3970565434
141	0.3965362632
142	0.3958581306
143	0.395066063
144	0.3944615907
145	0.3939060282
146	0.3931999276
147	0.3926203238
148	0.3922435712
149	0.3919150298
150	0.391327962
151	0.3907709375
152	0.3902852749
153	0.3897539336
154	0.3891881165
155	0.3888338765
156	0.3883909779
157	0.3877543439
158	0.387195975
159	0.3867958946
160	0.3864372989
161	0.3857896683
162	0.3853094844
163	0.3847305515
164	0.3842360985
165	0.3836953415
166	0.3832089533
167	0.3830146879
168	0.3826854705
169	0.3822015714
170	0.3819028265
171	0.3814158393
172	0.3811594279
173	0.380432956
174	0.3799755438
175	0.3796785166
176	0.3791400655
177	0.3785633952
178	0.3780375696
179	0.3776868863
180	0.3774076742
181	0.3767302243
182	0.3763062661
183	0.3758985306
184	0.3752462269
185	0.375008058
186	0.3745356784
187	0.3741032768
188	0.3738463773
189	0.373389821
190	0.3728590964
191	0.3724403318
192	0.3719884017
193	0.3714005089
194	0.3710632744
195	0.3707313112
196	0.3701015064
197	0.3696127749
198	0.3691319814
199	0.3688093408
200	0.3682931532
201	0.3679607529
202	0.3675169942
203	0.3671783984
204	0.3668304201
205	0.3663418363
206	0.3659308917
207	0.3657027451
208	0.3653787861
209	0.3649893208
210	0.3645394685
211	0.3639006941
212	0.3634416083
213	0.3631987658
214	0.3629546828
215	0.3626788898
216	0.3623883274
217	0.362063988
218	0.3616966198
219	0.3613539658
220	0.360992358
221	0.3606889054
222	0.3603299049
223	0.3599043075
224	0.3592968243
225	0.3589137252
226	0.3584874408
227	0.3582280223
228	0.3577903557
229	0.3575369657
230	0.3571114358
231	0.3567910275
232	0.3563576904
233	0.3559397845
234	0.3556644665
235	0.3552744516
236	0.3548484181
237	0.3545378946
238	0.3542663576
239	0.3538434992
240	0.3535261772
241	0.3532235672
242	0.3528735559
243	0.3526416557
244	0.3523536628
245	0.3520912823
246	0.3517986993
247	0.3513157065
248	0.3510588369
249	0.3507650646
250	0.3504365956
251	0.35007234
252	0.3498234247
253	0.3494021283
254	0.3492325848
255	0.3488591558
256	0.3485036329
257	0.348108017
258	0.3477630976
259	0.3474596251
260	0.3472621398
261	0.3470209961
262	0.3468297591
263	0.3464941072
264	0.3461937894
265	0.3458689712
266	0.3456396736
267	0.3453954221
268	0.3451944067
269	0.3447291081
270	0.3445919372
271	0.3443294807
272	0.3439153391
273	0.3436064875
274	0.3433201012
275	0.3430896816
276	0.3427338172
277	0.3422268602
278	0.3418343894
279	0.3416918382
280	0.3414571605
281	0.3411488099
282	0.3408116219
283	0.3403648403
284	0.3400751662
285	0.3396812011
286	0.3395276802
287	0.3392725133
288	0.3389845446
289	0.3386512216
290	0.3384314524
291	0.3381634846
292	0.3380026508
293	0.3376852498
294	0.3374576185
295	0.3373558822
296	0.3370958756
297	0.3367933658
298	0.336431257
299	0.3360897437
300	0.3358221407
301	0.3356640777
302	0.335448012
303	0.3350799008
304	0.3345627752
305	0.3341823351
306	0.3337550954
307	0.3334561237
308	0.3331842687
309	0.3328861588
310	0.332570258
311	0.3321808093
312	0.3318542813
313	0.3315711031
314	0.3313947513
315	0.3311303916
316	0.330851111
317	0.3307576526
318	0.3307067939
319	0.330445957
320	0.3302864499
321	0.3300259939
322	0.3297180737
323	0.3295809525
324	0.3293511048
325	0.3291612363
326	0.3289715924
327	0.328837124
328	0.3286224424
329	0.3283288464
330	0.3280659325
331	0.3277324547
332	0.3275114106
333	0.3271711258
334	0.3268702135
335	0.3266172205
336	0.3265128205
337	0.3263728836
338	0.3261564541
339	0.3260271021
340	0.3258461282
341	0.3255635851
342	0.325384794
343	0.3251453485
344	0.324891803
345	0.3246054528
346	0.3244120075
347	0.3242605278
348	0.3241406413
349	0.3240425024
350	0.3237989271
351	0.3234554592
352	0.323225481
353	0.3231078672
354	0.3228352452
355	0.3226400229
356	0.322481193
357	0.3222023055
358	0.3218152695
359	0.3216170136
360	0.321448677
361	0.3212182581
362	0.3209572162
363	0.3206345862
364	0.3204532639
365	0.320275492
366	0.319984436
367	0.319746867
368	0.3196590043
369	0.3194529492
370	0.3192852427
371	0.3190683011
372	0.3188225553
373	0.3185510662
374	0.3183487076
375	0.3181013643
376	0.317793584
377	0.3175395328
378	0.3173983183
379	0.3172139714
380	0.3169351698
381	0.3166317356
382	0.3163911121
383	0.3161879356
384	0.3159104717
385	0.3156706235
386	0.315331445
387	0.3151730837
388	0.3148235512
389	0.3145354638
390	0.3142948124
391	0.3141757661
392	0.3139753179
393	0.3136924993
394	0.3134540242
395	0.3132740169
396	0.3129329484
397	0.3126801201
398	0.3124142287
399	0.3121442994
400	0.3120714764
401	0.311825358
402	0.3116479699
403	0.3112334387
404	0.3109802864
405	0.3107161226
406	0.3102747165
407	0.3100912245
408	0.3099424169
409	0.3097489464
410	0.309583706
411	0.3094012329
412	0.309129506
413	0.3090559939
414	0.308854614
415	0.3087049091
416	0.3085373936
417	0.3083892749
418	0.3081100172
419	0.307960508
420	0.3078315503
