,Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrival/Dispersal Date,Overall Sink Percentage,Escort Sink Percentage,Straggler Sink Percentage
213,OB.37,30.0,2.0,0.0,0.0,0.0,0.0,171856.0,0.0,1939-11-18,1939-11-21,0.0,0.0,0.0
214,OB.38,12.0,2.0,0.0,0.0,0.0,0.0,60545.0,0.0,1939-11-20,1939-11-23,0.0,0.0,0.0
215,OB.39,11.0,2.0,1.0,0.0,0.0,0.0,58464.0,0.0,1939-11-22,1939-11-25,0.0,0.0,0.0
216,OB.40,38.0,4.0,0.0,0.0,0.0,0.0,172836.0,0.0,1939-11-24,0,0.0,0.0,0.0
217,OB.41,8.0,2.0,0.0,0.0,0.0,0.0,43645.0,0.0,1939-11-25,1939-11-28,0.0,0.0,0.0
533,HX.10,37.0,4.0,0.0,0.0,0.0,0.0,215412.0,0.0,1939-11-26,1939-12-10,0.0,0.0,0.0
218,OB.42,19.0,2.0,0.0,0.0,0.0,0.0,94311.0,0.0,1939-11-26,1939-12-01,0.0,0.0,0.0
219,OB.43,13.0,4.0,0.0,0.0,0.0,0.0,52047.0,0.0,1939-11-28,1939-12-04,0.0,0.0,0.0
220,OB.44,13.0,2.0,0.0,0.0,0.0,0.0,60954.0,0.0,1939-11-30,1939-12-03,0.0,0.0,0.0
221,OB.45,31.0,2.0,0.0,0.0,0.0,0.0,141484.0,0.0,1939-12-03,0,0.0,0.0,0.0
222,OB.46,9.0,2.0,0.0,1.0,0.0,0.0,49474.0,8795.0,1939-12-03,1939-12-07,11.11111111111110,0.0,0.0
223,OB.47,24.0,2.0,0.0,0.0,0.0,0.0,121064.0,0.0,1939-12-04,1939-12-08,0.0,0.0,0.0
534,HX.11,55.0,10.0,0.0,0.0,0.0,0.0,253812.0,0.0,1939-12-04,1939-12-18,0.0,0.0,0.0
224,OB.48,16.0,2.0,1.0,2.0,0.0,1.0,78633.0,14065.0,1939-12-06,1939-12-10,12.5,0.0,100.0
225,OB.49,14.0,2.0,0.0,0.0,0.0,0.0,75627.0,0.0,1939-12-08,1939-12-12,0.0,0.0,0.0
226,OB.50,19.0,2.0,0.0,0.0,0.0,0.0,76613.0,0.0,1939-12-10,0,0.0,0.0,0.0
227,OB.51,10.0,2.0,0.0,0.0,0.0,0.0,53572.0,0.0,1939-12-11,1939-12-14,0.0,0.0,0.0
535,HX.12,43.0,6.0,0.0,0.0,0.0,0.0,241777.0,0.0,1939-12-12,1939-12-27,0.0,0.0,0.0
228,OB.52,16.0,2.0,0.0,0.0,0.0,0.0,76470.0,0.0,1939-12-12,1939-12-17,0.0,0.0,0.0
229,OB.53,15.0,2.0,0.0,0.0,0.0,0.0,73141.0,0.0,1939-12-14,1939-12-19,0.0,0.0,0.0
230,OB.54,14.0,2.0,0.0,0.0,0.0,0.0,65059.0,0.0,1939-12-16,1939-12-19,0.0,0.0,0.0
232,OB.56,9.0,2.0,0.0,0.0,0.0,0.0,61295.0,0.0,1939-12-19,1939-12-21,0.0,0.0,0.0
231,OB.55,36.0,2.0,0.0,0.0,0.0,0.0,168086.0,0.0,1939-12-19,0,0.0,0.0,0.0
233,OB.57,22.0,2.0,0.0,0.0,0.0,0.0,125504.0,0.0,1939-12-20,1939-12-23,0.0,0.0,0.0
536,HX.13,34.0,7.0,1.0,0.0,0.0,0.0,168599.0,0.0,1939-12-20,1940-01-04,0.0,0.0,0.0
234,OB.58,22.0,2.0,0.0,0.0,0.0,0.0,106446.0,0.0,1939-12-22,1939-12-26,0.0,0.0,0.0
235,OB.59,24.0,2.0,0.0,0.0,0.0,0.0,129740.0,0.0,1939-12-24,1939-12-28,0.0,0.0,0.0
236,OB.60,33.0,2.0,0.0,0.0,0.0,0.0,171338.0,0.0,1939-12-26,0,0.0,0.0,0.0
237,OB.62,16.0,3.0,0.0,0.0,0.0,0.0,69480.0,0.0,1939-12-28,1939-12-31,0.0,0.0,0.0
537,HX.14,48.0,8.0,0.0,1.0,0.0,0.0,235703.0,7267.0,1939-12-29,1940-01-12,2.083333333333330,0.0,0.0
238,OB.63,3.0,0.0,0.0,0.0,0.0,0.0,19430.0,0.0,1939-12-30,0,0.0,0.0,0.0
239,OB.64,24.0,2.0,0.0,0.0,0.0,0.0,112979.0,0.0,1940-01-01,1940-01-05,0.0,0.0,0.0
240,OB.65,19.0,0.0,0.0,0.0,0.0,0.0,83061.0,0.0,1940-01-04,0,0.0,0.0,0.0
241,OB.66,7.0,2.0,0.0,0.0,0.0,0.0,34156.0,0.0,1940-01-04,1940-01-06,0.0,0.0,0.0
242,OB.67,18.0,2.0,0.0,0.0,0.0,0.0,95088.0,0.0,1940-01-05,1940-01-09,0.0,0.0,0.0
538,HX.15,32.0,7.0,0.0,0.0,0.0,0.0,187424.0,0.0,1940-01-06,1940-01-19,0.0,0.0,0.0
243,OB.68,29.0,2.0,0.0,0.0,0.0,0.0,162670.0,0.0,1940-01-08,0,0.0,0.0,0.0
244,OB.69,18.0,2.0,0.0,0.0,0.0,0.0,86467.0,0.0,1940-01-09,1940-01-13,0.0,0.0,0.0
245,OB.70,40.0,2.0,0.0,0.0,0.0,0.0,194905.0,0.0,1940-01-11,0,0.0,0.0,0.0
246,OB.71,14.0,0.0,0.0,0.0,0.0,0.0,72815.0,0.0,1940-01-12,1940-01-16,0.0,0.0,0.0
247,OB.72,17.0,2.0,0.0,0.0,0.0,0.0,72098.0,0.0,1940-01-12,1940-01-19,0.0,0.0,0.0
249,OB.74,18.0,2.0,0.0,1.0,0.0,0.0,90559.0,5494.0,1940-01-13,1940-01-18,5.555555555555560,0.0,0.0
539,HX.16,31.0,5.0,0.0,0.0,0.0,0.0,186942.0,0.0,1940-01-14,1940-01-28,0.0,0.0,0.0
250,OB.75,37.0,2.0,0.0,0.0,0.0,0.0,157207.0,0.0,1940-01-16,0,0.0,0.0,0.0
248,OB.73,15.0,0.0,0.0,0.0,0.0,0.0,97920.0,0.0,1940-01-16,1940-01-18,0.0,0.0,0.0
251,OB.76,15.0,2.0,1.0,0.0,0.0,0.0,67182.0,0.0,1940-01-17,1940-01-20,0.0,0.0,0.0
252,OB.77,12.0,2.0,0.0,0.0,0.0,0.0,48753.0,0.0,1940-01-19,0,0.0,0.0,0.0
253,OB.78,13.0,0.0,0.0,0.0,0.0,0.0,91885.0,0.0,1940-01-20,1940-01-23,0.0,0.0,0.0
254,OB.79,20.0,2.0,0.0,0.0,0.0,0.0,113540.0,0.0,1940-01-21,1940-01-24,0.0,0.0,0.0
540,HX.17,56.0,7.0,1.0,0.0,0.0,0.0,316315.0,0.0,1940-01-22,1940-02-07,0.0,0.0,0.0
